name,nodes,links,directed,time (s),max motif size,year,type,source,note
wiki-nl,1.00E+06,1.30E+07,TRUE,,,2018,ours,,
wiki-en,1.20E+07,3.78E+08,TRUE,,,2018,ours,,
twitter,5.30E+07,1.96E+09,TRUE,,,2018,ours,,
friendster,6.80E+07,2.59E+06,TRUE,,,2018,ours,,
ca-GrQc,5241,14484,FALSE,3.8,,2012,approximate census,1,
ca-HepTh,9877,25998,FALSE,3.6,,2012,approximate census,1,
Yeast,2361,7182,FALSE,3.4,,2012,approximate census,1,
Jazz,198,2742,FALSE,1.84,,2012,approximate census,1,
ca-AstroPh,18771,198110,FALSE,78.6,,2012,approximate census,1,
soc-sign-Slashdot081106,77357,468554,FALSE,527.62,,2012,approximate census,1,
roadNet-PA,1088092,1541898,FALSE,313.2,,2012,approximate census,1,
amazon0302,262111,899792,FALSE,46.6,,2012,approximate census,1,
Email-enron,36692,183831,FALSE,184.2,,2012,approximate census,1,
cit-Patents,3774768,16518948,FALSE,125.8,,2012,approximate census,1,
S.cerevisiae,5097,11626,FALSE,6.6,,2013,full census,2,
Escherichia coli,2984,,FALSE,4.8,,2013,full census,2,
D.melanogaster,7618,22864,FALSE,2.3,,2013,full census,2,
Human,18170,137775,FALSE,16140,,2013,full census,2,
Internet autonomous systems,25368,75004,FALSE,2940,,2013,full census,2,
WWW,3.25E+05,1.46E+06,TRUE,1680,,2004,approximate census,3,
E Coli,81,390,TRUE,,,2004,approximate motif,3,
e coli,424,519,TRUE,,3,2004,full motif,4,
b subtilis,516,577,TRUE,,3,2004,full motif,4,
yeast,685,1052,TRUE,,3,2004,full motif,4,
yeast 2,2341,3969,TRUE,,3,2004,full motif,4,
signal transduction,491,989,TRUE,,3,2004,full motif,4,
drosophila,110,307,TRUE,,3,2004,full motif,4,
sea urchin,45,83,TRUE,,3,2004,full motif,4,
c elegans,280,2170,TRUE,,3,2004,full motif,4,
www,325729,1469678,TRUE,,3,2004,approximate motif,4,
www-shakespeare,277114,927400,TRUE,,3,2004,approximate motif,4,
www-3,47870,235441,TRUE,,3,2004,approximate motif,4,
social-2,28,110,TRUE,,3,2004,full motif,4,
social-3,32,96,TRUE,,3,2004,full motif,4,
english,7724,46281,TRUE,,3,2004,full motif,4,
french,9424,24295,TRUE,,3,2004,full motif,4,
spanish,12642,45129,TRUE,,3,2004,full motif,4,
japanese,3177,8300,TRUE,,3,2004,full motif,4,
bipartite,1010,1261,TRUE,,3,2004,full motif,4,
hpylo,,,TRUE,,,2008,full motif,5,
ecoli,,,TRUE,,,2008,full motif,5,
scere,,,TRUE,,,2008,full motif,5,
dolphins,62,159,TRUE,,9,2010,full census,6,
circuits,252,399,TRUE,,8,2010,full census,6,
social,1000,7770,TRUE,,5,2010,full census,6,
yeast,2361,6646,TRUE,,5,2010,full census,6,
